# 0D ASCII output created by CarpetIOASCII
# created on c108-112.frontera.tacc.utexas.edu by liwei on Mar 09 2025 at 03:44:45-0500
# parameter filename: "q1-Z4cowCarpet.par"
#
# CARPET::TIMING (carpet-timing)
#
# iteration 0   time 0
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
320	0	0 0 0	0 0 0	1.04166666666667	0 0 0	11.4909809051829 13.3658885403486 445.610643148422 326.342897176743 445.607982873917 0 0.00266027450561523 640 50253.3995434811 93508704.6171348 16399840 30515901576 50177.7980819097 93482861.7136337 16375168 30507467928 1879.50528768597 2518161.18444166 2518161.18444166 0 5 6699 6699 0 0 0 0 0 387.633330345154 1741510211.92575 195647

# iteration 384   time 1.25
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
384	0	0 0 0	0 0 0	1.25	0 0 0	11.6061263548274 13.1269999260796 506.994009017944 387.726263046265 506.990897655487 0 0.00311136245727539 767 50642.3264850054 94242743.5812876 19635360 36540386788 50578.6939629106 94220992.0292165 19610688 36531953140 1928.41563218391 2587933.7783908 2587933.7783908 0 6 8052 8052 0 0 0 0 0 446.40775346756 1741510273.30912 234303

# iteration 448   time 1.45833333333333
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
448	0	0 0 0	0 0 0	1.45833333333333	0 0 0	11.6234556960394 12.9468345296368 570.940650939941 451.672904968262 570.937087535858 0 0.00356340408325195 895 50752.8340705113 94441826.6023671 22923680 42656814172 50698.2104707146 94423154.5768654 22899008 42648380524 1964.41375618895 2631753.17221999 2631753.17221999 0 7 9378 9378 0 0 0 0 0 505.255867004395 1741510337.25576 273151

# iteration 512   time 1.66666666666667
# time level 0
# refinement level 0   multigrid level 0   map 0   component 0
# column format: 1:it	2:tl	3:rl 4:c 5:ml	6:ix 7:iy 8:iz	9:time	10:x 11:y 12:z	13:data
# data columns: 13:physical_time_per_hour 14:current_physical_time_per_hour 15:time_total 16:time_evolution 17:time_computing 18:time_communicating 19:time_io 20:evolution_steps_count 21:local_grid_points_per_second 22:total_grid_points_per_second 23:local_grid_point_updates_count 24:total_grid_point_updates_count 25:local_interior_points_per_second 26:total_interior_points_per_second 27:local_interior_point_updates_count 28:total_interior_point_updates_count 29:io_per_second 30:io_bytes_per_second 31:io_bytes_ascii_per_second 32:io_bytes_binary_per_second 33:io_count 34:io_bytes_count 35:io_bytes_ascii_count 36:io_bytes_binary_count 37:comm_per_second 38:comm_bytes_per_second 39:comm_count 40:comm_bytes_count 41:time_levels 42:current_walltime 43:syncs_count
512	0	0 0 0	0 0 0	1.66666666666667	0 0 0	11.703227859362 12.8198199668629 631.946818113327 512.679072141647 631.942786693573 0 0.00403141975402832 1022 51024.5130364372 94954723.1967954 26159200 48681299384 50976.3893634795 94938273.0460904 26134528 48672865736 1984.41256135786 2661841.3994914 2661841.3994914 0 8 10731 10731 0 0 0 0 0 566.503604888916 1741510398.26193 311871

