# 1:iteration	2:time	3:admconstraints::hc.min	4:admconstraints::hc.max	5:admconstraints::hc.sum	6:admconstraints::hc.avg	7:admconstraints::hc.stddev	8:admconstraints::hc.volume	9:admconstraints::hc.L1norm	10:admconstraints::hc.L2norm	11:admconstraints::hc.maxabs	12:admconstraints::hc.sumloc[0]	13:admconstraints::hc.sumloc[1]	14:admconstraints::hc.sumloc[2]
40960	9.0909090909090921e+01	-5.0685168710151718e-06	7.5570518216910854e-06	4.7128644530312097e-06	9.2048133848265736e-15	3.2317923888578358e-09	5.1200000000000048e+08	2.4165839494725872e-11	3.2317923888709445e-09	7.5570518216910854e-06	-2.3301340469076981e-01	7.9892555504121165e-02	-1.7517424322766040e-06
45056	1.0000000000000001e+02	-5.9335988918940430e-06	7.2733405713787391e-06	-2.0523097682871659e-07	-4.0084175161858668e-16	3.4593828171517180e-09	5.1200000000000054e+08	2.7829771727410768e-11	3.4593828171517411e-09	7.2733405713787391e-06	7.7713515823580082e-01	-4.4622374897721850e-01	-6.8371981755954714e-04
49152	1.0909090909090909e+02	-8.3979465314715229e-06	8.3505255474014550e-06	2.4544678748275860e-07	4.7938825680226239e-16	3.5389465883890020e-09	5.1200000000000054e+08	2.8128392128614252e-11	3.5389465883890343e-09	8.3979465314715229e-06	1.3397032910827544e-01	-2.6764198561783026e-02	9.3700879730929110e-05
53248	1.1818181818181819e+02	-8.1377129577606122e-06	9.4955029550577996e-06	6.4437831224180612e-07	1.2585513910972762e-15	3.3840159802380944e-09	5.1200000000000054e+08	2.8200747723407937e-11	3.3840159802383285e-09	9.4955029550577996e-06	2.6142873078426465e-01	-3.4933114922279351e-02	-1.2269579796697627e-04
57344	1.2727272727272728e+02	-6.4945278051078970e-06	8.3362450196376725e-06	2.9316627843447101e-07	5.7259038756732556e-16	3.1008443556352245e-09	5.1200000000000054e+08	2.5314858716608641e-11	3.1008443556352775e-09	8.3362450196376725e-06	-2.9845731540104059e-04	3.1905885743130691e-01	-5.2548755022197025e-05
61440	1.3636363636363637e+02	-4.9501636142945574e-06	6.5477539692333775e-06	-7.6517529106820409e-07	-1.4944829903675848e-15	2.4928538187627233e-09	5.1200000000000048e+08	1.8598599817651484e-11	2.4928538187631712e-09	6.5477539692333775e-06	-8.5419143217048771e-02	2.6611175635894560e-02	2.4869746090818573e-04
65536	1.4545454545454547e+02	-6.8832806940262448e-06	7.3257740879316413e-06	1.7405352139723468e-05	3.3994828397897361e-14	1.4083384190999135e-09	5.1200000000000054e+08	9.4826053834873803e-12	1.4083384195102015e-09	7.3257740879316413e-06	4.4303730947302389e-04	1.6207361670972920e-03	3.7012107092709162e-04
69632	1.5454545454545456e+02	-8.7403839768435132e-06	7.4968825566137931e-06	6.9822556935563704e-06	1.3637218151477273e-14	3.6646057927587895e-10	5.1200000000000048e+08	3.5330749645302624e-12	3.6646057952962208e-10	8.7403839768435132e-06	-1.3075413483466414e-02	3.6536635260729478e-02	2.7890768131479116e-04
73728	1.6363636363636365e+02	-7.8487229577713091e-06	7.9286513357951227e-06	-1.0958572716225401e-06	-2.1403462336377714e-15	1.7456827105249781e-10	5.1200000000000054e+08	1.8007908162680881e-12	1.7456827106561899e-10	7.9286513357951227e-06	-3.5571413398685248e-02	1.9560942524860028e-02	3.4092211538347059e-05
77824	1.7272727272727275e+02	-5.2822782134198665e-06	7.0962825935196039e-06	1.6826662323051665e-04	3.2864574849710253e-13	2.5124294206099271e-09	5.1200000000000048e+08	1.0740051349684596e-11	2.5124294421046657e-09	7.0962825935196039e-06	4.1526914657060710e-03	8.0405275613965099e-02	3.2609602397182025e-02
81920	1.8181818181818184e+02	-5.7082977125769152e-06	6.9066764198100206e-06	4.1723358644649101e-05	8.1490934852830189e-14	8.2838611052545527e-09	5.1200000000000054e+08	7.4934959240542358e-11	8.2838611056553779e-09	6.9066764198100206e-06	-4.3545789515868361e-01	3.1528055323400874e+00	-2.7027316998060325e-03
86016	1.9090909090909093e+02	-8.1713595198006084e-06	7.2161544498981767e-06	1.7601148186168058e-05	3.4377242551109454e-14	9.9516983271353243e-09	5.1200000000000054e+08	1.0238207519635853e-10	9.9516983271947010e-09	8.1713595198006084e-06	-2.2348361030001613e+00	3.8454899325299929e-01	-3.3197790976041697e-04
90112	2.0000000000000003e+02	-7.9880801108732358e-06	7.4269547796872171e-06	1.9208705190411650e-06	3.7517002325022721e-15	9.9376186876634402e-09	5.1200000000000048e+08	1.1004330507833283e-10	9.9376186876641483e-09	7.9880801108732358e-06	-2.2877000551499074e+00	-7.2273834445722063e-01	5.3798113639804690e-03
94208	2.0909090909090912e+02	-1.1708840136643445e-05	9.4032779183062659e-06	3.4880031487159388e-06	6.8125061498358111e-15	9.7971599795627524e-09	5.1200000000000054e+08	9.8656605443854037e-11	9.7971599795651214e-09	1.1708840136643445e-05	-3.1490465173851812e+00	-2.1045419357526844e+00	-1.6300893323939469e-04
98304	2.1818181818181819e+02	-3.1462467071037559e-05	2.2295616029770898e-05	-1.2943045209332549e-06	-2.5279385174477609e-15	7.8244483094579220e-09	5.1200000000000054e+08	8.3779655084079958e-11	7.8244483094583306e-09	3.1462467071037559e-05	-8.7955014671031151e-01	-2.2613155851064777e+00	1.1571126977472090e-03
102400	2.2727272727272728e+02	-1.2185484089408810e-05	9.6078264761045862e-06	-1.2815906240430238e-06	-2.5031066875840286e-15	6.2081752156305087e-09	5.1200000000000048e+08	6.3719448406395262e-11	6.2081752156310133e-09	1.2185484089408810e-05	1.0033727491417421e-01	-7.6088585050446511e-01	-1.1089561454169505e-04
106496	2.3636363636363637e+02	-7.5254158192553100e-06	7.2748682041316737e-06	2.0921752345440313e-06	4.0862797549688067e-15	4.1790805990101946e-09	5.1200000000000054e+08	3.9466064639723892e-11	4.1790805990121923e-09	7.5254158192553100e-06	3.2569936811550038e-01	-1.5427363934748850e-01	1.6583857368890342e-04
110592	2.4545454545454547e+02	-4.5815534436624561e-06	6.0550034486316073e-06	1.2313167325387605e-04	2.4049154932397640e-13	1.9774312385147472e-09	5.1200000000000060e+08	1.8907146149406971e-11	1.9774312531388169e-09	6.0550034486316073e-06	2.7843209540513031e-02	2.5041757500771464e-02	6.1423246780661633e-03
114688	2.5454545454545456e+02	-7.0671004473651933e-06	6.8450218844579025e-06	2.6605098465005430e-05	5.1963082939463679e-14	5.6774129622513103e-10	5.1200000000000048e+08	5.9344921292425133e-12	5.6774129860311719e-10	7.0671004473651933e-06	-1.8607864900546389e-02	1.2940770365312187e-02	1.6028393104267069e-04
118784	2.6363636363636368e+02	-8.0937316526835668e-06	7.1361789638658968e-06	-2.6562624583515660e-06	-5.1880126139678970e-15	3.2910091158303515e-10	5.1200000000000054e+08	3.6511851994227119e-12	3.2910091162392755e-10	8.0937316526835668e-06	1.6662419547998408e-02	-9.1224260848639452e-03	-1.6481740797701441e-05
122880	2.7272727272727275e+02	-5.4997206133701459e-06	6.7590040717449562e-06	8.7616758920571998e-07	1.7112648226674202e-15	3.2886492852873865e-10	5.1200000000000048e+08	3.8243508255512792e-12	3.2886492853319095e-10	6.7590040717449562e-06	-6.5865252207936917e-03	3.0811354997136775e-02	1.9602289710526910e-06
126976	2.8181818181818187e+02	-5.6453410681583938e-06	6.5522096331475932e-06	-1.1735797863791860e-06	-2.2921480202718450e-15	3.0930673298729832e-10	5.1200000000000060e+08	3.5118872433471672e-12	3.0930673299579139e-10	6.5522096331475932e-06	1.3127887748739950e-02	3.6023416273968045e-02	4.2249799127386939e-05
131072	2.9090909090909093e+02	-8.3687680831126543e-06	6.9132316852515974e-06	-1.2282214556282132e-06	-2.3988700305238516e-15	2.7084057994610522e-10	5.1200000000000048e+08	3.0255318558965027e-12	2.7084057995672880e-10	8.3687680831126543e-06	-2.8247576418235359e-02	3.2890705573205323e-02	-6.8589575452526752e-05
135168	3.0000000000000000e+02	-6.6398288570274078e-06	6.8363385164922630e-06	3.0768806213434518e-07	6.0095324635614226e-16	2.1970082272907205e-10	5.1200000000000060e+08	2.4326685303290076e-12	2.1970082272989396e-10	6.8363385164922630e-06	-3.3250444316328932e-02	1.2763388270155232e-02	1.1739902835358751e-05
139264	3.0909090909090912e+02	-4.5923344648285402e-06	6.2406022836962449e-06	-1.4711536559427912e-06	-2.8733469842632609e-15	1.6405317862776572e-10	5.1200000000000054e+08	1.7610742986828182e-12	1.6405317865292869e-10	6.2406022836962449e-06	2.7833571725504602e-03	-4.4438041784873560e-03	2.2866185794700664e-05
143360	3.1818181818181819e+02	-7.6337340033476309e-06	6.7517492737499685e-06	-1.4182968382155227e-06	-2.7701110121396903e-15	1.1477354027106752e-10	5.1200000000000048e+08	1.1155202632873269e-12	1.1477354030449646e-10	7.6337340033476309e-06	-2.2965068779238929e-02	-1.2217881353310533e-02	-4.9375165552326128e-07
147456	3.2727272727272731e+02	-6.9850866998948102e-06	6.9314979813939193e-06	1.2604972923676430e-06	2.4619087741555501e-15	8.6099502584834479e-11	5.1200000000000054e+08	7.4048349362713297e-13	8.6099502620032100e-11	6.9850866998948102e-06	-2.8501245803881636e-03	-1.5914015647109314e-02	5.1131712359913511e-05
151552	3.3636363636363637e+02	-4.3760939054046655e-06	5.9352526506732672e-06	-9.2924911717313137e-06	-1.8149396819787707e-14	8.0258825048080096e-11	5.1200000000000048e+08	6.4387011412644118e-13	8.0258827100194621e-11	5.9352526506732672e-06	-7.6801681486948770e-04	1.2674904932059597e-02	3.6917667069362795e-04
155648	3.4545454545454550e+02	-7.4887706932383336e-06	6.5447592966089152e-06	-3.4836953904725959e-06	-6.8040925595167825e-15	2.4753720748510700e-10	5.1200000000000048e+08	2.0460234652215868e-12	2.4753720757861956e-10	7.4887706932383336e-06	-1.2366516297604629e-02	1.1972454813108965e-01	-2.1565889717387043e-04
159744	3.5454545454545456e+02	-6.6801771940218357e-06	6.4921524948607923e-06	3.9666140802940954e-07	7.7472931255743962e-16	2.7755383559052534e-10	5.1200000000000060e+08	2.8046054272485846e-12	2.7755383559160656e-10	6.6801771940218357e-06	6.1963376195556252e-03	-5.2081177037211823e-02	4.5998267423200123e-05
163840	3.6363636363636368e+02	-4.8002207814583364e-06	6.0012112720435329e-06	-3.5998168846045371e-05	-7.0308923527432291e-14	3.2588645221505811e-10	5.1200000000000054e+08	3.3961041892078885e-12	3.2588645979951680e-10	6.0012112720435329e-06	-4.1975098537799238e-03	-6.4228309472137590e-02	-1.5002442896415447e-03
167936	3.7272727272727275e+02	-7.0921978606412750e-06	5.9191664457010351e-06	9.3104370627140342e-06	1.8184447388202401e-14	1.2176750624290713e-09	5.1199999999749267e+08	1.1976292931222906e-11	1.2176750625648522e-09	7.0921978606412750e-06	6.9910664418637025e-03	9.0824971611291883e-04	-7.1370737596937739e-03
172032	3.8181818181818187e+02	-4.4477762438759061e-06	5.3340968562930191e-06	-1.0204509100197477e-05	-1.9930681836323176e-14	2.2570401368578528e-09	5.1200000000000054e+08	2.6745125453285904e-11	2.2570401369458512e-09	5.3340968562930191e-06	3.3558955289216286e-01	-1.3010519359840500e-01	-4.7662025497047233e-04
176128	3.9090909090909093e+02	-6.3684779097357425e-06	5.7798972230155288e-06	2.5768606021558065e-06	5.0329308635855552e-15	2.5745158481413271e-09	5.1200000000000048e+08	3.0513580537693905e-11	2.5745158481462467e-09	6.3684779097357425e-06	-6.3891764397416839e-02	-8.6500201935768573e-04	-1.8615707212086274e-03
180224	4.0000000000000006e+02	-5.4775612664641204e-06	4.7309467151659956e-06	7.3953880803498038e-06	1.4444117344433196e-14	2.7845506273412293e-09	5.1200000000000054e+08	3.3690184030954538e-11	2.7845506273786915e-09	5.4775612664641204e-06	1.4826596605536807e-01	-3.2071515838882014e-02	-4.2270982973349192e-03
184320	4.0909090909090912e+02	-6.0084365895336778e-06	5.4317908276084459e-06	3.3128340446238636e-06	6.4703789934059774e-15	2.0273735245628943e-09	5.1200000000000048e+08	2.2515604501224679e-11	2.0273735245732196e-09	6.0084365895336778e-06	-1.1737677723408835e-02	1.4635403675011815e-02	4.7596098853741609e-05
188416	4.1818181818181824e+02	-5.1437827248597412e-06	4.7262534924414831e-06	1.9142779756800443e-05	3.7388241712500829e-14	1.8143288955594762e-09	5.1200000000000054e+08	2.1164561641165410e-11	1.8143288959447098e-09	5.1437827248597412e-06	6.3771011178130887e-02	2.0739999422687894e-02	8.4607852131957095e-04
192512	4.2727272727272731e+02	-3.6997854831813393e-06	3.9065081298503973e-06	1.8645446065159739e-05	3.6416886846015080e-14	1.3983993047154509e-09	5.1200000000000054e+08	1.6667272931830125e-11	1.3983993051896321e-09	3.9065081298503973e-06	4.6581908881176970e-02	-1.5038306538019580e-01	7.8817584852564071e-04
196608	4.3636363636363637e+02	-2.2087784499460680e-06	2.8667158103058005e-06	3.3664670857769003e-05	6.5751310269100146e-14	9.0662620729383724e-10	5.1199999999984378e+08	1.0170266658863340e-11	9.0662620967808051e-10	2.8667158103058005e-06	4.2341033538943801e-01	-3.5838520846677335e-01	3.6609284461852631e-03
200704	4.4545454545454550e+02	-2.2289149005918704e-06	8.7931214767908612e-07	5.4234753005647869e-05	1.0592725196415590e-13	4.9160315898124855e-10	5.1200000000000048e+08	5.3503284834800079e-12	4.9160317039348454e-10	2.2289149005918704e-06	2.0300688109057968e-02	-1.1081897178974690e-02	-4.7278908039285333e-04
204800	4.5454545454545456e+02	-3.5762848458373818e-06	1.9443411555385322e-06	6.4977998730718933e-05	1.2691015377093529e-13	2.3160508910476345e-10	5.1200000000000054e+08	2.6311804527433727e-12	2.3160512387555796e-10	3.5762848458373818e-06	1.4475245794975944e-03	-7.6980837171553018e-04	-7.3488587805858527e-04
208896	4.6363636363636368e+02	-3.0788346753389366e-06	1.3749943243183613e-06	6.4258029649598864e-05	1.2550396415937266e-13	1.2171510460558954e-10	5.1200000000000048e+08	1.2993009789269904e-12	1.2171516931095574e-10	3.0788346753389366e-06	4.4565206232832777e-05	-7.9452658347715227e-04	-3.2010953580166590e-04
212992	4.7272727272727275e+02	-4.0789344392449731e-06	2.6050005036823073e-06	7.1455548814051550e-05	1.3956161877744430e-13	7.2064288968775918e-11	5.1200000000000048e+08	7.2292960304765024e-13	7.2064424108020691e-11	4.0789344392449731e-06	-8.2520800125593374e-06	-3.0117120374820866e-05	-2.6546518505815575e-04
217088	4.8181818181818187e+02	-4.0488813407386567e-06	2.7521418141857913e-06	6.6668638738340410e-05	1.3021218503582099e-13	9.0305746855489767e-11	5.1200000000000048e+08	6.8251079646716092e-13	9.0305840732152720e-11	4.0488813407386567e-06	-8.5001081238648968e-05	-2.2271091475425941e-04	1.1588320001424540e-04
221184	4.9090909090909093e+02	-3.9953359856686674e-06	2.6972049998888817e-06	1.1734633535811941e-04	2.2919206124632673e-13	1.1711153668277848e-10	5.1200000000000048e+08	8.8986449975569685e-13	1.1711176095167688e-10	3.9953359856686674e-06	3.7135169129662304e-05	2.8798740141886686e-04	-1.0408799257530243e-04
225280	5.0000000000000006e+02	-3.9871996441107060e-06	2.6635927511363400e-06	1.2809772653995163e-04	2.5019087214834282e-13	1.3299144719761798e-10	5.1200000000000048e+08	1.2336431870777459e-12	1.3299168253386870e-10	3.9871996441107060e-06	-3.6607554461708797e-04	8.9465569179351945e-04	1.3936641510400860e-04
229376	5.0909090909090912e+02	-3.9854945301205993e-06	2.6741513050616145e-06	1.4826928824683718e-04	2.8958845360710362e-13	2.3383127097440116e-10	5.1200000000000048e+08	2.3392181765108898e-12	2.3383145029481447e-10	3.9854945301205993e-06	9.0543451580042678e-04	5.2743405680932831e-04	-2.3581342272221972e-04
233472	5.1818181818181824e+02	-3.9960424418278642e-06	2.6914552371656505e-06	1.5871267887369406e-04	3.0998570092518341e-13	2.7441305998804007e-10	5.1200000000000048e+08	3.1166403213173092e-12	2.7441323507282671e-10	3.9960424418278642e-06	1.6229492923106048e-04	3.3935375778405830e-04	3.5877747493806567e-05
237568	5.2727272727272737e+02	-3.9746245380613623e-06	2.6924774739521887e-06	1.7793204215186504e-04	3.4752351982786110e-13	2.6840964937141382e-10	5.1200000000000048e+08	2.9446931005326532e-12	2.6840987434943994e-10	3.9746245380613623e-06	-2.3152213745400441e-04	-3.6372738255407988e-05	-1.2470885489362926e-05
241664	5.3636363636363637e+02	-4.0505129980114921e-06	2.8352424756719966e-06	1.9367445627957740e-04	3.7827042242104927e-13	2.4172131887935169e-10	5.1200000000000048e+08	2.3358123326364091e-12	2.4172161485743410e-10	4.0505129980114921e-06	5.5905838982517331e-05	2.2026073232842003e-04	-1.2918725565028155e-04
245760	5.4545454545454550e+02	-4.0003976648850595e-06	3.2635479299937889e-06	2.1482663564171059e-04	4.1958327273771559e-13	2.2832851776818508e-10	5.1200000000000048e+08	2.2790582539504765e-12	2.2832890328720796e-10	4.0003976648850595e-06	-2.2937771383945565e-04	-3.3169971850827845e-04	-2.5390077517745135e-04
249856	5.5454545454545462e+02	-4.1981931342884721e-06	3.0309683965367915e-06	2.3471831539657629e-04	4.5843420975893762e-13	2.2733613083753789e-10	5.1200000000000048e+08	2.3262693328400905e-12	2.2733659306435210e-10	4.1981931342884721e-06	-3.9878899939824186e-04	-7.3150977219865049e-04	-8.8356832305194755e-05
253952	5.6363636363636374e+02	-4.1056890997146975e-06	2.8287560655789259e-06	2.5427947405116036e-04	4.9663959775617208e-13	2.5189205985832782e-10	5.1200000000000048e+08	2.5914043925446229e-12	2.5189254945424932e-10	4.1056890997146975e-06	2.9903440827544481e-04	-1.6074582773031310e-03	-1.6610085632384752e-04
258048	5.7272727272727275e+02	-3.9926092933991256e-06	2.7579124852687015e-06	2.7333375442051180e-04	5.3385498910256161e-13	2.6663123958159719e-10	5.1200000000000048e+08	2.7341841437636619e-12	2.6663177402921896e-10	3.9926092933991256e-06	-1.4173765078539791e-03	-1.5744321363213298e-04	1.4626307811205219e-04
262144	5.8181818181818187e+02	-4.0215751654932436e-06	2.7556685969600328e-06	2.9143102021057159e-04	5.6920121134877212e-13	2.4397489328903814e-10	5.1200000000000048e+08	2.3567951474574708e-12	2.4397555727042934e-10	4.0215751654932436e-06	1.6097234766126872e-03	-6.9354251779721321e-04	-7.0438139584683146e-06
266240	5.9090909090909099e+02	-4.0248202066049329e-06	2.7144399497944921e-06	3.0947369307670616e-04	6.0444080679044112e-13	1.8681648356128309e-10	5.1200000000000048e+08	1.9002974675589405e-12	1.8681746138648836e-10	4.0248202066049329e-06	-3.7804573918562290e-04	-2.9762269958613641e-05	-2.7249763060649412e-04
270336	6.0000000000000000e+02	-4.0088215951068415e-06	2.7444719201217410e-06	3.2646263064696799e-04	6.3762232548235877e-13	1.3363683773641235e-10	5.1200000000000048e+08	1.3913757232622081e-12	1.3363835887355904e-10	4.0088215951068415e-06	4.5928183496883601e-04	-1.0146823628712082e-03	-1.2973748429759291e-04
