# 1:iteration	2:time	3:patch	4:level	5:i	6:j	7:k	8:x	9:y	10:z	11:u	12:rho
256	2.0000000000000000e+00	0	0	-3	32	32	-4.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.1501831471710127e-09	-7.1075509652025740e-08
256	2.0000000000000000e+00	0	0	-2	32	32	-4.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.8526637944648797e-11	-3.9600469380753681e-09
256	2.0000000000000000e+00	0	0	-1	32	32	-4.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.3153449775272568e-11	1.1306003714889429e-09
256	2.0000000000000000e+00	0	0	0	32	32	-4.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.4116520465502395e-11	4.1305989010794877e-10
256	2.0000000000000000e+00	0	0	1	32	32	-3.8750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	7.3153449775272568e-11	1.1306003714889429e-09
256	2.0000000000000000e+00	0	0	2	32	32	-3.7500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.8526637944648797e-11	-3.9600469380753681e-09
256	2.0000000000000000e+00	0	0	3	32	32	-3.6250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.1501831471710127e-09	-7.1075509652025740e-08
256	2.0000000000000000e+00	0	0	4	32	32	-3.5000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.9789382498810971e-08	-2.0792605060640841e-07
256	2.0000000000000000e+00	0	0	5	32	32	-3.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.7632760108150169e-08	1.5674519757629058e-06
256	2.0000000000000000e+00	0	0	6	32	32	-3.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	8.1120429706494602e-07	1.5036044538369388e-05
256	2.0000000000000000e+00	0	0	7	32	32	-3.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.7714852148401713e-06	2.8798184416881066e-05
256	2.0000000000000000e+00	0	0	8	32	32	-3.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-3.9898831703894618e-06	-2.6684391522047472e-04
256	2.0000000000000000e+00	0	0	9	32	32	-2.8750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-1.2265912808192580e-04	-2.0643685187943569e-03
256	2.0000000000000000e+00	0	0	10	32	32	-2.7500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-5.6256902409702891e-04	-4.7018235935582589e-03
256	2.0000000000000000e+00	0	0	11	32	32	-2.6250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	-4.2328145462245753e-04	1.5188499046727510e-02
256	2.0000000000000000e+00	0	0	12	32	32	-2.5000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	8.1452271164384263e-03	1.5328762223839359e-01
256	2.0000000000000000e+00	0	0	13	32	32	-2.3750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.0845034706078367e-02	5.7050802931582045e-01
256	2.0000000000000000e+00	0	0	14	32	32	-2.2500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.6706443292370687e-01	1.2077551694602089e+00
256	2.0000000000000000e+00	0	0	15	32	32	-2.1250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	3.5330838936439074e-01	1.3562442626821791e+00
256	2.0000000000000000e+00	0	0	16	32	32	-2.0000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.9142029455635439e-01	1.7826516812656579e-01
256	2.0000000000000000e+00	0	0	17	32	32	-1.8750000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	4.2997508322124739e-01	-1.5696467589632466e+00
256	2.0000000000000000e+00	0	0	18	32	32	-1.7500000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	2.1454811147781996e-01	-1.8537448302338608e+00
256	2.0000000000000000e+00	0	0	19	32	32	-1.6250000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	5.7309921487086989e-02	-7.5647004490249514e-01
256	2.0000000000000000e+00	0	0	20	32	32	-1.5000000000000000e+00	0.0000000000000000e+00	0.0000000000000000e+00	1.3967504898488560e-02	-1.5746188150885496e-01
